fullname,id,location,size,center_lat,center_lon,top_left_lat,top_left_lon,lower_right_lat,lower_right_lon,left_x,right_x,lower_y,top_y,startdate,enddate
998-beaufort_sea-1200km-20060504-20060506,998,beaufort_sea,1200km,,,-152.9892,67.6236,-114.8220,78.9424,-2334051,-1127689,-414418,757892,2006-05-04,2006-05-06
999-beaufort_sea-1200km-20080713-20080715,998,beaufort_sea,1200km,,,-152.9892,67.6236,-114.8220,78.9424,-2334051,-1127689,-414418,757892,2008-07-13,2008-07-15
000-baffin_bay-100km-20040725-20040726,000,baffin_bay,100km,69.90135405651581,-65.28920053776979,70.15782,-66.98525,69.62829,-63.63812,-812500.0,-712500.0,-2112500.0,-2012500.0,2004-07-25,2004-07-26
002-baffin_bay-100km-20040921-20040922,002,baffin_bay,100km,68.11094966783841,-73.30075576600639,68.28347,-74.93151,67.9215,-71.69737,-1187500.0,-1087500.0,-2162500.0,-2062500.0,2004-09-21,2004-09-22
004-baffin_bay-100km-20050819-20050820,004,baffin_bay,100km,75.68820789467534,-86.74805439963612,75.71011,-89.34894,75.63724,-84.16051,-1087500.0,-987500.0,-1212500.0,-1112500.0,2005-08-19,2005-08-20
005-baffin_bay-100km-20050827-20050828,005,baffin_bay,100km,76.9736565092582,-93.57633437499736,76.91748,-96.41879,76.99781,-90.71616,-1112500.0,-1012500.0,-987500.0,-887500.0,2005-08-27,2005-08-28
007-baffin_bay-100km-20070605-20070606,007,baffin_bay,100km,74.7568366127483,-64.79887635452492,75.01877,-67.04591,74.4727,-62.63179,-612500.0,-512500.0,-1612500.0,-1512500.0,2007-06-05,2007-06-06
008-baffin_bay-100km-20080704-20080705,008,baffin_bay,100km,70.33687935349806,-63.64559412207739,70.61014,-65.35834,70.0471,-61.98211,-737500.0,-637500.0,-2087500.0,-1987500.0,2008-07-04,2008-07-05
016-baffin_bay-100km-20090426-20090427,016,baffin_bay,100km,79.75068045859918,-69.55045238920742,79.95857,-73.03385,79.50676,-66.21797,-512500.0,-412500.0,-1062500.0,-962500.0,2009-04-26,2009-04-27
019-baffin_bay-100km-20110506-20110507,019,baffin_bay,100km,77.71099327658386,-72.28420729362306,77.89172,-75.21727,77.49934,-69.44395,-662500.0,-562500.0,-1237500.0,-1137500.0,2011-05-06,2011-05-07
